course_ID,short_name,long_name,status,blueprint_course_id
275,Physical Education: Grade 2-60222Z0-Orr-PeriodPE,Physical Education: Grade 2-60222Z0-Orr-PeriodPE,active,
275,Physical Education: Grade 2-60222Z0-Orr-PeriodPE,Physical Education: Grade 2-60222Z0-Orr-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,Physical Education: Grade 3-60232Z0-Jackson-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,Physical Education: Grade 3-60232Z0-Matherson-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,active,
200,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,active,
201,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,Physical Education: Grade 3-60232Z0-Orr-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,Physical Education: Grade 4-60242Z0-Jackson-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,Physical Education: Grade 4-60242Z0-Matherson-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
202,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
203,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
325,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,Physical Education: Grade 4-60242Z0-Orr-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,Physical Education: Grade 5-60252Z0-Jackson-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,Physical Education: Grade 5-60252Z0-Matherson-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
204,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
282,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
326,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,Physical Education: Grade 5-60252Z0-Orr-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Jackson-PeriodPE,Physical Education: Grade 6-60262Y0-Jackson-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Jackson-PeriodPE,Physical Education: Grade 6-60262Y0-Jackson-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Matherson-PeriodPE,Physical Education: Grade 6-60262Y0-Matherson-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Matherson-PeriodPE,Physical Education: Grade 6-60262Y0-Matherson-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Orr-PeriodPE,Physical Education: Grade 6-60262Y0-Orr-PeriodPE,active,
205,Physical Education: Grade 6-60262Y0-Orr-PeriodPE,Physical Education: Grade 6-60262Y0-Orr-PeriodPE,active,
263,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
263,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
287,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
287,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
327,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
327,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,Physical Education: Grade 7-60272Y0-Jackson-PeriodPE,active,
263,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
263,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
287,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
287,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
327,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
327,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,Physical Education: Grade 7-60272Y0-Orr-PeriodPE,active,
296,Physical Education: Grade 8-60282Y0-Jackson-PeriodPE,Physical Education: Grade 8-60282Y0-Jackson-PeriodPE,active,
296,Physical Education: Grade 8-60282Y0-Jackson-PeriodPE,Physical Education: Grade 8-60282Y0-Jackson-PeriodPE,active,
296,Physical Education: Grade 8-60282Y0-Orr-PeriodPE,Physical Education: Grade 8-60282Y0-Orr-PeriodPE,active,
296,Physical Education: Grade 8-60282Y0-Orr-PeriodPE,Physical Education: Grade 8-60282Y0-Orr-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,Physical Education: Kindergart-60202Z0-Jackson-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,Physical Education: Kindergart-60202Z0-Matherson-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
195,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
196,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
323,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,Physical Education: Kindergart-60202Z0-Orr-PeriodPE,active,
221,Science: Grade 1-30012Z0-Campbell-PeriodScience,Science: Grade 1-30012Z0-Campbell-PeriodScience,active,
221,Science: Grade 1-30012Z0-Campbell-PeriodScience,Science: Grade 1-30012Z0-Campbell-PeriodScience,active,
221,Science: Grade 1-30012Z0-Foxe-PeriodScience,Science: Grade 1-30012Z0-Foxe-PeriodScience,active,
221,Science: Grade 1-30012Z0-Foxe-PeriodScience,Science: Grade 1-30012Z0-Foxe-PeriodScience,active,
222,Science: Grade 1-30012Z0-Johns-PeriodScience,Science: Grade 1-30012Z0-Johns-PeriodScience,active,
222,Science: Grade 1-30012Z0-Johns-PeriodScience,Science: Grade 1-30012Z0-Johns-PeriodScience,active,
221,Science: Grade 1-30012Z0-Sheppard-PeriodScience,Science: Grade 1-30012Z0-Sheppard-PeriodScience,active,
221,Science: Grade 1-30012Z0-Sheppard-PeriodScience,Science: Grade 1-30012Z0-Sheppard-PeriodScience,active,
303,Science: Grade 1-3001AZ0-Harris-PeriodScience,Science: Grade 1-3001AZ0-Harris-PeriodScience,active,
303,Science: Grade 1-3001AZ0-Harris-PeriodScience,Science: Grade 1-3001AZ0-Harris-PeriodScience,active,
271,Science: Grade 2-30022Z0-Daniels-PeriodScience,Science: Grade 2-30022Z0-Daniels-PeriodScience,active,
271,Science: Grade 2-30022Z0-Daniels-PeriodScience,Science: Grade 2-30022Z0-Daniels-PeriodScience,active,
223,Science: Grade 2-30022Z0-Sheffield-PeriodScience,Science: Grade 2-30022Z0-Sheffield-PeriodScience,active,
223,Science: Grade 2-30022Z0-Sheffield-PeriodScience,Science: Grade 2-30022Z0-Sheffield-PeriodScience,active,
223,Science: Grade 2-30022Z0-Sheppard-PeriodScience,Science: Grade 2-30022Z0-Sheppard-PeriodScience,active,
223,Science: Grade 2-30022Z0-Sheppard-PeriodScience,Science: Grade 2-30022Z0-Sheppard-PeriodScience,active,
223,Science: Grade 2-30022Z0-Thompson-PeriodScience,Science: Grade 2-30022Z0-Thompson-PeriodScience,active,
223,Science: Grade 2-30022Z0-Thompson-PeriodScience,Science: Grade 2-30022Z0-Thompson-PeriodScience,active,
225,Science: Grade 3-30032Z0-Giles-PeriodScience,Science: Grade 3-30032Z0-Giles-PeriodScience,active,
225,Science: Grade 3-30032Z0-Giles-PeriodScience,Science: Grade 3-30032Z0-Giles-PeriodScience,active,
224,Science: Grade 3-30032Z0-Hartage-PeriodScience,Science: Grade 3-30032Z0-Hartage-PeriodScience,active,
224,Science: Grade 3-30032Z0-Hartage-PeriodScience,Science: Grade 3-30032Z0-Hartage-PeriodScience,active,
226,Science: Grade 4-30042Z0-Aldman-PeriodScience,Science: Grade 4-30042Z0-Aldman-PeriodScience,active,
226,Science: Grade 4-30042Z0-Aldman-PeriodScience,Science: Grade 4-30042Z0-Aldman-PeriodScience,active,
227,Science: Grade 4-30042Z0-Moore-PeriodScience,Science: Grade 4-30042Z0-Moore-PeriodScience,active,
227,Science: Grade 4-30042Z0-Moore-PeriodScience,Science: Grade 4-30042Z0-Moore-PeriodScience,active,
307,Science: Grade 4-3004AZ0-Harris-PeriodScience,Science: Grade 4-3004AZ0-Harris-PeriodScience,active,
307,Science: Grade 4-3004AZ0-Harris-PeriodScience,Science: Grade 4-3004AZ0-Harris-PeriodScience,active,
278,Science: Grade 5-30052Z0-Alsop-PeriodScience,Science: Grade 5-30052Z0-Alsop-PeriodScience,active,
278,Science: Grade 5-30052Z0-Alsop-PeriodScience,Science: Grade 5-30052Z0-Alsop-PeriodScience,active,
228,Science: Grade 5-30052Z0-New-PeriodScience,Science: Grade 5-30052Z0-New-PeriodScience,active,
228,Science: Grade 5-30052Z0-New-PeriodScience,Science: Grade 5-30052Z0-New-PeriodScience,active,
311,Science: Grade 5-3005AZ0-Harris-PeriodScience,Science: Grade 5-3005AZ0-Harris-PeriodScience,active,
311,Science: Grade 5-3005AZ0-Harris-PeriodScience,Science: Grade 5-3005AZ0-Harris-PeriodScience,active,
229,Science: Grade 6-30062Y0-Hammel-PeriodScience,Science: Grade 6-30062Y0-Hammel-PeriodScience,active,30062Y0
229,Science: Grade 6-30062Y0-Hammel-PeriodScience,Science: Grade 6-30062Y0-Hammel-PeriodScience,active,30062Y0
229,Science: Grade 6-30062Y0-Liriano-PeriodScience,Science: Grade 6-30062Y0-Liriano-PeriodScience,active,30062Y0
229,Science: Grade 6-30062Y0-Liriano-PeriodScience,Science: Grade 6-30062Y0-Liriano-PeriodScience,active,30062Y0
229,Science: Grade 6-30062Y0-Sheppard-PeriodScience,Science: Grade 6-30062Y0-Sheppard-PeriodScience,active,30062Y0
229,Science: Grade 6-30062Y0-Sheppard-PeriodScience,Science: Grade 6-30062Y0-Sheppard-PeriodScience,active,30062Y0
260,Science: Grade 7-30072Y0-Lawson-PeriodScience,Science: Grade 7-30072Y0-Lawson-PeriodScience,active,30072Y0
260,Science: Grade 7-30072Y0-Lawson-PeriodScience,Science: Grade 7-30072Y0-Lawson-PeriodScience,active,30072Y0
288,Science: Grade 7-30072Y0-Lawson-PeriodScience,Science: Grade 7-30072Y0-Lawson-PeriodScience,active,30072Y0
288,Science: Grade 7-30072Y0-Lawson-PeriodScience,Science: Grade 7-30072Y0-Lawson-PeriodScience,active,30072Y0
315,Science: Grade 7-3007AY0-Harris-PeriodScience,Science: Grade 7-3007AY0-Harris-PeriodScience,active,
315,Science: Grade 7-3007AY0-Harris-PeriodScience,Science: Grade 7-3007AY0-Harris-PeriodScience,active,
294,Science: Grade 8-30082Y0-Lawson-PeriodScience,Science: Grade 8-30082Y0-Lawson-PeriodScience,active,30082Y0
294,Science: Grade 8-30082Y0-Lawson-PeriodScience,Science: Grade 8-30082Y0-Lawson-PeriodScience,active,30082Y0
220,Science: Kindergarten-30002Z0-Coleman-PeriodScience,Science: Kindergarten-30002Z0-Coleman-PeriodScience,active,
220,Science: Kindergarten-30002Z0-Coleman-PeriodScience,Science: Kindergarten-30002Z0-Coleman-PeriodScience,active,
219,Science: Kindergarten-30002Z0-Gist-PeriodScience,Science: Kindergarten-30002Z0-Gist-PeriodScience,active,
219,Science: Kindergarten-30002Z0-Gist-PeriodScience,Science: Kindergarten-30002Z0-Gist-PeriodScience,active,
299,Science: Kindergarten-3000AZ0-Harris-PeriodScience,Science: Kindergarten-3000AZ0-Harris-PeriodScience,active,
299,Science: Kindergarten-3000AZ0-Harris-PeriodScience,Science: Kindergarten-3000AZ0-Harris-PeriodScience,active,
233,Social Studies: Grade 1-40012Z0-Campbell-PeriodSocStudies,Social Studies: Grade 1-40012Z0-Campbell-PeriodSocStudies,active,
233,Social Studies: Grade 1-40012Z0-Campbell-PeriodSocStudies,Social Studies: Grade 1-40012Z0-Campbell-PeriodSocStudies,active,
